shift_tipe;nik;kdregu;kodejamkerja;inputdate;inputby;updatedate;updateby;id;tgl
;;NS          ;NSB                      ;2017-01-05 00:00:00;1115.184       ;;;168;2017-04-14
;;NS          ;NSC                      ;2017-01-05 00:00:00;1115.184       ;;;169;2017-04-15
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;170;2017-04-17
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;171;2017-04-18
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;172;2017-04-19
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;173;2017-04-20
;;NS          ;NSB                      ;2017-01-05 00:00:00;1115.184       ;;;174;2017-04-21
;;NS          ;NSC                      ;2017-01-05 00:00:00;1115.184       ;;;175;2017-04-22
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;176;2017-04-24
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;177;2017-04-25
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;178;2017-04-26
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;179;2017-04-27
;;NS          ;NSB                      ;2017-01-05 00:00:00;1115.184       ;;;180;2017-04-28
;;NS          ;NSC                      ;2017-01-05 00:00:00;1115.184       ;;;181;2017-04-29
;;NS          ;NSA                      ;2017-02-23 00:00:00;1015.179       ;;;208;2017-05-01
;;NS          ;NSA                      ;2017-02-23 00:00:00;1015.179       ;;;209;2017-05-02
;;NS          ;NSA                      ;2017-02-23 00:00:00;1015.179       ;;;210;2017-05-03
;;NS          ;NSA                      ;2017-02-23 00:00:00;1015.179       ;;;211;2017-05-04
;;NS          ;NSB                      ;2017-02-23 00:00:00;1015.179       ;;;212;2017-05-05
;;NS          ;NSC                      ;2017-02-23 00:00:00;1015.179       ;;;213;2017-05-06
;;NS          ;NSA                      ;2017-02-23 00:00:00;1015.179       ;;;214;2017-05-08
;;NS          ;NSA                      ;2017-02-23 00:00:00;1015.179       ;;;215;2017-05-09
;;NS          ;NSA                      ;2017-02-23 00:00:00;1015.179       ;;;216;2017-05-10
;;NS          ;NSA                      ;2017-02-23 00:00:00;1015.179       ;;;217;2017-05-11
;;NS          ;NSB                      ;2017-02-23 00:00:00;1015.179       ;;;218;2017-05-12
;;NS          ;NSC                      ;2017-02-23 00:00:00;1015.179       ;;;219;2017-05-13
;;NS          ;NSA                      ;2017-02-23 00:00:00;1015.179       ;;;220;2017-05-15
;;NS          ;NSA                      ;2017-02-23 00:00:00;1015.179       ;;;221;2017-05-16
;;NS          ;NSA                      ;2017-02-23 00:00:00;1015.179       ;;;222;2017-05-17
;;NS          ;NSA                      ;2017-02-23 00:00:00;1015.179       ;;;223;2017-05-18
;;NS          ;NSB                      ;2017-02-23 00:00:00;1015.179       ;;;224;2017-05-19
;;NS          ;NSC                      ;2017-02-23 00:00:00;1015.179       ;;;225;2017-05-20
;;NS          ;NSA                      ;2017-02-23 00:00:00;1015.179       ;;;226;2017-05-22
;;NS          ;NSA                      ;2017-02-23 00:00:00;1015.179       ;;;227;2017-05-23
;;NS          ;NSA                      ;2017-02-23 00:00:00;1015.179       ;;;228;2017-05-24
;;NS          ;NSA                      ;2017-02-23 00:00:00;1015.179       ;;;229;2017-05-25
;;NS          ;NSB                      ;2017-02-23 00:00:00;1015.179       ;;;230;2017-05-26
;;NS          ;NSC                      ;2017-02-23 00:00:00;1015.179       ;;;231;2017-05-27
;;NS          ;NSA                      ;2017-02-23 00:00:00;1015.179       ;;;232;2017-05-29
;;NS          ;NSA                      ;2017-02-23 00:00:00;1015.179       ;;;233;2017-05-30
;;NS          ;NSA                      ;2017-02-23 00:00:00;1015.179       ;;;234;2017-05-31
;;NS          ;NSA                      ;2017-04-22 00:00:00;1015.179       ;;;235;2017-06-01
;;NS          ;NSB                      ;2017-04-22 00:00:00;1015.179       ;;;236;2017-06-02
;;NS          ;NSC                      ;2017-04-22 00:00:00;1015.179       ;;;237;2017-06-03
;;NS          ;NSA                      ;2017-04-22 00:00:00;1015.179       ;;;238;2017-06-05
;;NS          ;NSA                      ;2017-04-22 00:00:00;1015.179       ;;;239;2017-06-06
;;NS          ;NSA                      ;2017-04-22 00:00:00;1015.179       ;;;240;2017-06-07
;;NS          ;NSA                      ;2017-04-22 00:00:00;1015.179       ;;;241;2017-06-08
;;NS          ;NSB                      ;2017-04-22 00:00:00;1015.179       ;;;242;2017-06-09
;;NS          ;NSC                      ;2017-04-22 00:00:00;1015.179       ;;;243;2017-06-10
;;NS          ;NSA                      ;2017-04-22 00:00:00;1015.179       ;;;244;2017-06-12
;;NS          ;NSA                      ;2017-04-22 00:00:00;1015.179       ;;;245;2017-06-13
;;NS          ;NSA                      ;2017-04-22 00:00:00;1015.179       ;;;246;2017-06-14
;;NS          ;NSA                      ;2017-04-22 00:00:00;1015.179       ;;;247;2017-06-15
;;NS          ;NSB                      ;2017-04-22 00:00:00;1015.179       ;;;248;2017-06-16
;;NS          ;NSC                      ;2017-04-22 00:00:00;1015.179       ;;;249;2017-06-17
;;NS          ;NSA                      ;2017-04-22 00:00:00;1015.179       ;;;250;2017-06-19
;;NS          ;NSA                      ;2017-04-22 00:00:00;1015.179       ;;;251;2017-06-20
;;NS          ;NSA                      ;2017-04-22 00:00:00;1015.179       ;;;252;2017-06-21
;;NS          ;NSA                      ;2017-04-22 00:00:00;1015.179       ;;;253;2017-06-22
;;NS          ;NSB                      ;2017-04-22 00:00:00;1015.179       ;;;254;2017-06-23
;;NS          ;NSC                      ;2017-04-22 00:00:00;1015.179       ;;;255;2017-06-24
;;NS          ;NSA                      ;2017-04-22 00:00:00;1015.179       ;;;256;2017-06-26
;;NS          ;NSA                      ;2017-04-22 00:00:00;1015.179       ;;;257;2017-06-27
;;NS          ;NSA                      ;2017-04-22 00:00:00;1015.179       ;;;258;2017-06-28
;;NS          ;NSA                      ;2017-04-22 00:00:00;1015.179       ;;;259;2017-06-29
;;NS          ;NSB                      ;2017-04-22 00:00:00;1015.179       ;;;260;2017-06-30
;;NS          ;NSC                      ;2017-04-22 00:00:00;1015.179       ;;;261;2017-07-01
;;NS          ;NSA                      ;2017-04-22 00:00:00;1015.179       ;;;262;2017-07-03
